"file","date","composition_name","temp_series","replicate","sample_ID","magnification","predict_spec","mean.dens.ml","biomass","day"
"20260212_014",2026-02-12,"CDLT","TS1",2,"CDLT_TS1_2",2.5,"T",439.8108,1.62056665416592e-05,1
"20260212_015",2026-02-12,"LT","TS1",2,"LT_TS1_2",2.5,"L",1679.68768,5.06573299857831e-05,1
"20260212_015",2026-02-12,"LT","TS1",2,"LT_TS1_2",2.5,"T",2472.57736,7.69394556202222e-05,1
"20260212_016",2026-02-12,"CDLT","TS1",1,"CDLT_TS1_1",2.5,"C",869.57464,7.54082466063195e-05,1
"20260212_016",2026-02-12,"CDLT","TS1",1,"CDLT_TS1_1",2.5,"D",1214.65696,5.09020652012436e-05,1
"20260212_016",2026-02-12,"CDLT","TS1",1,"CDLT_TS1_1",2.5,"L",202.57952,6.02646839380735e-06,1
"20260212_016",2026-02-12,"CDLT","TS1",1,"CDLT_TS1_1",2.5,"T",452.52328,1.20029210616264e-05,1
"20260212_017",2026-02-12,"DPT","TS1",1,"DPT_TS1_1",2.5,"D",1650.36696,6.13370074720167e-05,1
"20260212_017",2026-02-12,"DPT","TS1",1,"DPT_TS1_1",2.5,"P",907.302,0.00020905404339685,1
"20260212_017",2026-02-12,"DPT","TS1",1,"DPT_TS1_1",2.5,"T",700.41664,1.52435397956753e-05,1
"20260212_018",2026-02-12,"DPT","TS1",2,"DPT_TS1_2",2.5,"D",1802.71168,6.4064305754752e-05,1
"20260212_018",2026-02-12,"DPT","TS1",2,"DPT_TS1_2",2.5,"P",982.55168,0.00020330412276643,1
"20260212_018",2026-02-12,"DPT","TS1",2,"DPT_TS1_2",2.5,"T",527.56792,1.17885063043885e-05,1
"20260212_019",2026-02-12,"PT","TS1",3,"PT_TS1_3",2.5,"P",535.35944,0.00014005900737456,1
"20260212_019",2026-02-12,"PT","TS1",3,"PT_TS1_3",2.5,"T",842.50936,1.17292605271932e-05,1
"20260212_020",2026-02-12,"CDLP","TS1",1,"CDLP_TS1_1",2.5,"C",655.1028,6.54954359624096e-05,1
"20260212_020",2026-02-12,"CDLP","TS1",1,"CDLP_TS1_1",2.5,"D",1845.97512,6.59622611179425e-05,1
"20260212_020",2026-02-12,"CDLP","TS1",1,"CDLP_TS1_1",2.5,"L",718.46016,2.02198395013792e-05,1
"20260212_020",2026-02-12,"CDLP","TS1",1,"CDLP_TS1_1",2.5,"P",669.4556,0.00014611014898206,1
"20260212_021",2026-02-12,"CDLP","TS1",3,"CDLP_TS1_3",2.5,"C",516.29072,6.04677878451392e-05,1
"20260212_021",2026-02-12,"CDLP","TS1",3,"CDLP_TS1_3",2.5,"D",1711.26384,5.78112388996552e-05,1
"20260212_021",2026-02-12,"CDLP","TS1",3,"CDLP_TS1_3",2.5,"L",645.05584,1.59191150650071e-05,1
