"","sample_ID","day","predict_spec","temperature","nutrients","composition","biomass","richness","tot_biomass","biom_contribution"
"4866","CDPS_Tmp_18_21_Nut0.01_3",46,"S","18-21 °C","0.01 g/L","CDPS",0,4,0,NA
"4867","CLPS_Tmp_18_21_Nut0.01_1",46,"S","18-21 °C","0.01 g/L","CLPS",0,4,0,NA
"4868","CLPS_Tmp_18_21_Nut0.01_2",46,"S","18-21 °C","0.01 g/L","CLPS",0,4,0,NA
"4869","CLPS_Tmp_18_21_Nut0.01_3",46,"S","18-21 °C","0.01 g/L","CLPS",0,4,0,NA
"4870","CLS_Tmp_18_21_Nut0.01_1",46,"S","18-21 °C","0.01 g/L","CLS",0,3,0,NA
"4871","CLS_Tmp_18_21_Nut0.01_2",46,"S","18-21 °C","0.01 g/L","CLS",0,3,0,NA
"4872","CLS_Tmp_18_21_Nut0.01_3",46,"S","18-21 °C","0.01 g/L","CLS",0,3,0,NA
"4873","DPS_Tmp_18_21_Nut0.01_1",46,"S","18-21 °C","0.01 g/L","DPS",0,3,0,NA
"4874","DPS_Tmp_18_21_Nut0.01_2",46,"S","18-21 °C","0.01 g/L","DPS",0,3,0,NA
"4875","DPS_Tmp_18_21_Nut0.01_3",46,"S","18-21 °C","0.01 g/L","DPS",0,3,0,NA
"4876","DS_Tmp_18_21_Nut0.01_1",46,"S","18-21 °C","0.01 g/L","DS",0,2,0,NA
"4877","DS_Tmp_18_21_Nut0.01_2",46,"S","18-21 °C","0.01 g/L","DS",0,2,0,NA
"4878","DS_Tmp_18_21_Nut0.01_3",46,"S","18-21 °C","0.01 g/L","DS",0,2,0,NA
"4879","CDLS_Tmp_18_21_Nut0.35_1",46,"S","18-21 °C","0.35 g/L","CDLS",0,4,0,NA
"4880","CDLS_Tmp_18_21_Nut0.35_2",46,"S","18-21 °C","0.35 g/L","CDLS",0,4,0,NA
"4881","CDLS_Tmp_18_21_Nut0.35_3",46,"S","18-21 °C","0.35 g/L","CDLS",0,4,0,NA
"4882","CDPS_Tmp_18_21_Nut0.35_1",46,"S","18-21 °C","0.35 g/L","CDPS",0,4,0.000947229895026006,0
"4883","CDPS_Tmp_18_21_Nut0.35_2",46,"S","18-21 °C","0.35 g/L","CDPS",0,4,0.0020362652664641,0
"4884","CDPS_Tmp_18_21_Nut0.35_3",46,"S","18-21 °C","0.35 g/L","CDPS",0,4,0.00562248001730318,0
"4885","CDS_Tmp_18_21_Nut0.35_1",46,"S","18-21 °C","0.35 g/L","CDS",0,3,0.0016531413664231,0
"4886","CDS_Tmp_18_21_Nut0.35_2",46,"S","18-21 °C","0.35 g/L","CDS",0,3,0.000434683077456694,0
"4887","CDS_Tmp_18_21_Nut0.35_3",46,"S","18-21 °C","0.35 g/L","CDS",0.00527043257937714,3,0.00527043257937714,1
"4888","DLS_Tmp_18_21_Nut0.35_1",46,"S","18-21 °C","0.35 g/L","DLS",0,3,0,NA
"4889","DLS_Tmp_18_21_Nut0.35_2",46,"S","18-21 °C","0.35 g/L","DLS",0,3,0,NA
"4890","DLS_Tmp_18_21_Nut0.35_3",46,"S","18-21 °C","0.35 g/L","DLS",0,3,0,NA
"4891","CDLS_Tmp_18_21_Nut0.75_1",46,"S","18-21 °C","0.75 g/L","CDLS",0,4,0,NA
"4892","CDLS_Tmp_18_21_Nut0.75_2",46,"S","18-21 °C","0.75 g/L","CDLS",0,4,0,NA
"4893","CDLS_Tmp_18_21_Nut0.75_3",46,"S","18-21 °C","0.75 g/L","CDLS",0.00496090046683937,4,0.00496090046683937,1
"4894","CDPS_Tmp_18_21_Nut0.75_1",46,"S","18-21 °C","0.75 g/L","CDPS",0,4,0,NA
"4895","CDPS_Tmp_18_21_Nut0.75_2",46,"S","18-21 °C","0.75 g/L","CDPS",0,4,0,NA
"4896","CDPS_Tmp_18_21_Nut0.75_3",46,"S","18-21 °C","0.75 g/L","CDPS",0,4,0.00522068286173097,0
"4897","CLPS_Tmp_18_21_Nut0.75_1",46,"S","18-21 °C","0.75 g/L","CLPS",0,4,0.0016350061234303,0
"4898","CLPS_Tmp_18_21_Nut0.75_2",46,"S","18-21 °C","0.75 g/L","CLPS",0,4,0.000852375318169116,0
"4899","CLPS_Tmp_18_21_Nut0.75_3",46,"S","18-21 °C","0.75 g/L","CLPS",0,4,0.00315621884280692,0
